Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Amount,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total,Age Group,Total Purchase,Purchase Count,Total Orders,Month,Quarter,discounted_total_price,Day of Week
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2024-03-20,Standard,"Accessory,Accessory,Accessory",40.21,51+,5578.54,2,5578.54,3,2024Q1,4984.497,2
1000,53,Male,No,Tablet,SKU1002,3,Completed,PayPal,741.09,247.03,3,2024-04-20,Overnight,Impulse Item,26.09,41-50,767.1800000000001,2,767.1800000000001,4,2024Q2,666.981,5
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-10-17,Express,,0.0,51+,1855.84,2,1855.84,10,2023Q4,1670.2559999999999,1
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2024-08-09,Overnight,"Impulse Item,Impulse Item",60.16,41-50,3224.92,2,3224.92,8,2024Q3,2848.284,4
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-21,Express,Accessory,35.56,19-30,77.06,1,77.06,5,2024Q2,41.5,1
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,2024-05-26,Standard,"Impulse Item,Accessory",65.78,19-30,148.78,1,148.78,5,2024Q2,74.7,6
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,7603.47,844.83,9,2024-01-30,Overnight,,0.0,31-40,7603.47,2,7603.47,1,2024Q1,6843.1230000000005,1
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2024-06-24,Overnight,"Extended Warranty,Extended Warranty",75.33,51+,4250.97,2,4250.97,6,2024Q2,3758.0760000000005,0
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,2023-10-03,Standard,Impulse Item,43.05,51+,5581.38,3,5581.38,10,2023Q4,4984.497,1
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-01-01,Express,,0.0,41-50,4175.64,3,4175.64,1,2024Q1,3758.0760000000005,0
1006,24,Male,Yes,Tablet,SKU1002,3,Completed,PayPal,2470.3,247.03,10,2024-06-25,Overnight,"Impulse Item,Accessory,Impulse Item",90.38,51+,2560.6800000000003,3,2560.6800000000003,6,2024Q2,2223.2700000000004,1
1007,35,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,2023-11-07,Overnight,"Accessory,Extended Warranty",55.48,19-30,7176.19,1,7176.19,11,2023Q4,6408.639,1
1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-09-25,Express,"Extended Warranty,Impulse Item,Extended Warranty",65.85,51+,3445.17,1,3445.17,9,2023Q3,3041.3880000000004,0
1011,72,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,2024-07-07,Standard,"Accessory,Accessory,Accessory",70.17,31-40,7982.07,1,7982.07,7,2024Q3,7120.71,6
1013,42,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,5538.33,791.19,7,2024-03-18,Overnight,"Accessory,Impulse Item,Accessory",57.81,41-50,5596.14,1,5596.14,3,2024Q1,4984.497,0
1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,2024-01-02,Standard,"Extended Warranty,Extended Warranty",69.31,51+,5138.29,2,5138.29,1,2024Q1,4562.081999999999,1
1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,2024-05-18,Standard,Accessory,8.3,51+,4755.4400000000005,2,4755.4400000000005,5,2024Q2,4272.426,5
1015,22,Male,No,Smartphone,SKU1001,5,Completed,PayPal,83.0,20.75,4,2024-09-02,Standard,"Accessory,Accessory,Accessory",80.0,51+,163.0,1,163.0,9,2024Q3,74.7,0
1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,PayPal,103.75,20.75,5,2024-07-07,Overnight,,0.0,41-50,103.75,1,103.75,7,2024Q3,93.375,6
1018,34,Male,No,Smartphone,SKU1001,5,Completed,PayPal,124.5,20.75,6,2024-07-23,Express,"Impulse Item,Extended Warranty",70.39,51+,194.89,1,194.89,7,2024Q3,112.05,1
1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83.0,20.75,4,2024-03-14,Express,,0.0,19-30,83.0,3,83.0,3,2024Q1,74.7,3
1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,2024-04-20,Express,"Impulse Item,Impulse Item",37.87,51+,1025.99,3,1025.99,4,2024Q2,889.308,5
1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,PayPal,844.83,844.83,1,2024-07-21,Express,Accessory,49.17,51+,894.0,3,894.0,7,2024Q3,844.83,6
1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,2023-12-02,Express,"Impulse Item,Accessory,Extended Warranty",37.13,19-30,3416.4500000000003,1,3416.4500000000003,12,2023Q4,3041.3880000000004,5
